id_log_transaccion,id_tipo_transaccion,id_tarjeta,id_cuenta_c,id_cuenta_d,id_estado_transaccion,fecha_operacion,fecha,hora,monto_operacion
1,2,,3,9,1,2021-05-01 00:00:00,2021-05-01,00:00:00,10
2,2,,2,5,1,2021-05-01 00:00:00,2021-05-01,00:00:00,13
3,1,3,1,,1,2021-05-01 00:00:00,2021-05-01,00:00:00,7
4,2,,9,3,1,2021-05-01 00:00:00,2021-05-01,00:00:00,17
5,2,,4,5,1,2021-05-01 00:00:00,2021-05-01,00:00:00,19
6,3,9,,9,1,2021-05-01 00:00:00,2021-05-01,00:00:00,1
7,3,3,,3,1,2021-05-01 00:00:00,2021-05-01,00:00:00,2
8,3,6,,6,1,2021-05-01 00:00:00,2021-05-01,00:00:00,1
9,2,,11,1,1,2021-05-01 00:00:00,2021-05-01,00:00:00,18
10,2,,4,8,1,2021-05-01 00:00:00,2021-05-01,00:00:00,10
11,2,,2,8,1,2021-05-01 00:00:00,2021-05-01,00:00:00,9
12,2,,11,9,1,2021-05-01 00:00:00,2021-05-01,00:00:00,10
13,1,10,1,,1,2021-05-01 00:00:00,2021-05-01,00:00:00,18
14,1,1,1,,1,2021-05-01 01:00:00,2021-05-01,01:00:00,18
15,1,10,1,,1,2021-05-01 01:00:00,2021-05-01,01:00:00,11
16,3,10,,10,1,2021-05-01 01:00:00,2021-05-01,01:00:00,13
17,2,,10,2,1,2021-05-01 01:00:00,2021-05-01,01:00:00,13
18,2,,7,2,1,2021-05-01 01:00:00,2021-05-01,01:00:00,5
19,3,2,,2,1,2021-05-01 01:00:00,2021-05-01,01:00:00,1
20,1,9,1,,1,2021-05-01 01:00:00,2021-05-01,01:00:00,15
21,1,5,1,,1,2021-05-01 01:00:00,2021-05-01,01:00:00,15
22,1,1,1,,1,2021-05-01 01:00:00,2021-05-01,01:00:00,4
23,3,11,,11,1,2021-05-01 01:00:00,2021-05-01,01:00:00,1
24,1,4,1,,1,2021-05-01 01:00:00,2021-05-01,01:00:00,17
25,1,10,1,,1,2021-05-01 01:00:00,2021-05-01,01:00:00,15
26,1,6,1,,1,2021-05-01 01:00:00,2021-05-01,01:00:00,19
27,3,1,,1,1,2021-05-01 01:00:00,2021-05-01,01:00:00,4
28,2,,10,5,1,2021-05-01 01:00:00,2021-05-01,01:00:00,9
29,2,,6,8,1,2021-05-01 01:00:00,2021-05-01,01:00:00,13
30,1,6,1,,1,2021-05-01 01:00:00,2021-05-01,01:00:00,4
31,1,1,1,,1,2021-05-01 01:00:00,2021-05-01,01:00:00,13
32,3,8,,8,1,2021-05-01 01:00:00,2021-05-01,01:00:00,1
33,3,3,,3,1,2021-05-01 01:00:00,2021-05-01,01:00:00,3
34,3,2,,2,1,2021-05-01 02:00:00,2021-05-01,02:00:00,0
35,2,,5,6,1,2021-05-01 02:00:00,2021-05-01,02:00:00,12
36,2,,11,2,1,2021-05-01 02:00:00,2021-05-01,02:00:00,3
37,3,6,,6,1,2021-05-01 02:00:00,2021-05-01,02:00:00,8
38,2,,10,9,1,2021-05-01 02:00:00,2021-05-01,02:00:00,19
39,1,3,1,,1,2021-05-01 02:00:00,2021-05-01,02:00:00,7
40,2,,3,8,1,2021-05-01 02:00:00,2021-05-01,02:00:00,1
41,1,4,1,,1,2021-05-01 02:00:00,2021-05-01,02:00:00,5
42,3,11,,11,1,2021-05-01 02:00:00,2021-05-01,02:00:00,0
43,2,,11,10,1,2021-05-01 02:00:00,2021-05-01,02:00:00,13
44,3,11,,11,1,2021-05-01 02:00:00,2021-05-01,02:00:00,0
45,1,1,1,,1,2021-05-01 02:00:00,2021-05-01,02:00:00,13
46,1,3,1,,1,2021-05-01 02:00:00,2021-05-01,02:00:00,19
47,3,1,,1,1,2021-05-01 02:00:00,2021-05-01,02:00:00,5
48,2,,8,5,1,2021-05-01 02:00:00,2021-05-01,02:00:00,6
49,3,8,,8,1,2021-05-01 02:00:00,2021-05-01,02:00:00,0
50,2,,9,7,1,2021-05-01 02:00:00,2021-05-01,02:00:00,6
51,3,11,,11,1,2021-05-01 02:00:00,2021-05-01,02:00:00,0
52,2,,2,3,1,2021-05-01 03:00:00,2021-05-01,03:00:00,7
53,1,11,1,,1,2021-05-01 03:00:00,2021-05-01,03:00:00,15
54,1,2,1,,1,2021-05-01 03:00:00,2021-05-01,03:00:00,5
55,1,1,1,,1,2021-05-01 03:00:00,2021-05-01,03:00:00,1
56,2,,6,4,1,2021-05-01 03:00:00,2021-05-01,03:00:00,20
57,3,10,,10,1,2021-05-01 03:00:00,2021-05-01,03:00:00,5
58,1,11,1,,1,2021-05-01 03:00:00,2021-05-01,03:00:00,16
59,3,2,,2,1,2021-05-01 03:00:00,2021-05-01,03:00:00,4
60,1,3,1,,1,2021-05-01 03:00:00,2021-05-01,03:00:00,13
61,2,,2,11,1,2021-05-01 03:00:00,2021-05-01,03:00:00,19
62,3,4,,4,1,2021-05-01 03:00:00,2021-05-01,03:00:00,17
63,3,2,,2,1,2021-05-01 03:00:00,2021-05-01,03:00:00,1
64,1,1,1,,1,2021-05-01 03:00:00,2021-05-01,03:00:00,18
65,2,,5,6,1,2021-05-01 04:00:00,2021-05-01,04:00:00,14
66,3,1,,1,1,2021-05-01 04:00:00,2021-05-01,04:00:00,22
67,3,8,,8,1,2021-05-01 04:00:00,2021-05-01,04:00:00,0
68,1,7,1,,1,2021-05-01 04:00:00,2021-05-01,04:00:00,2
69,1,5,1,,1,2021-05-01 04:00:00,2021-05-01,04:00:00,10
70,2,,9,7,1,2021-05-01 04:00:00,2021-05-01,04:00:00,1
